,name,abbr_iau,abbr_nasa,abbr_upper,meaning,bs_name,name_cn,area,ra,dec,quadrant,family,bs_name_bayer_cn,bs_name_cn
0,Andromeda,And,Andr,AND,Andromeda (The chained maiden or princess),Alpheratz,仙女座,722.278,0 48.46,37 25.91,NQ1,英仙,仙女座α,壁宿二
1,Antlia,Ant,Antl,ANT,air pump,α Antliae,唧筒座,238.901,10 16.43,-32 29.01,SQ2,拉卡伊,唧筒座α,近天纪增二
2,Apus,Aps,Apus,APS,Bird-of-paradise/Exotic Bird/Extraordinary Bird,α Apodis,天燕座,206.327,16 8.65,-75 18,SQ3,拜耳,天燕座α,异雀八
3,Aquarius,Aqr,Aqar,AQR,water-bearer,β Aquarii,宝瓶座,979.854,22 17.38,-10 47.35,SQ4,黄道,宝瓶座β,虚宿一
4,Aquila,Aql,Aqil,AQL,eagle,Altair,天鹰座,652.473,19 40.02,3 24.65,NQ4,武仙,天鹰座α,河鼓二
5,Ara,Ara,Arae,ARA,altar,β Arae,天坛座,237.057,17 22.49,-56 35.3,SQ3,武仙,天坛座β,杵三
6,Aries,Ari,Arie,ARI,ram,Hamal,白羊座,441.395,2 38.16,20 47.54,NQ1,黄道,白羊座α,娄宿三
7,Auriga,Aur,Auri,AUR,charioteer,Capella,御夫座,657.438,6 4.42,42 1.68,NQ2,英仙,御夫座α,五车二
8,Boötes,Boo,Boot,BOO,herdsman,Arcturus,牧夫座,906.831,14 42.64,31 12.16,NQ3,大熊,牧夫座α,大角星
9,Caelum,Cae,Cael,CAE,chisel or engraving tool,α Caeli,雕具座,124.865,4 42.27,-37 52.9,SQ1,拉卡伊,雕具座α,近天园增六
10,Camelopardalis,Cam,Caml,CAM,giraffe,β Camelopardalis,鹿豹座,756.828,8 51.37,69 22.89,NQ2,大熊,鹿豹座β,八谷增十四
11,Cancer,Cnc,Canc,CNC,crab,β Cancri,巨蟹座,505.872,8 38.96,19 48.35,NQ2,黄道,巨蟹座β,柳宿增十
12,Canes Venatici,CVn,CVen,CVN,hunting dogs,Cor Caroli,猎犬座,465.194,13 6.96,40 6.11,NQ3,大熊,猎犬座α,常陈一
13,Canis Major,CMa,CMaj,CMA,greater dog,Sirius,大犬座,380.118,6 49.74,-22 8.42,SQ2,猎户,大犬座α,天狼星
14,Canis Minor,CMi,CMin,CMI,lesser dog,Procyon,小犬座,183.367,7 39.17,6 25.63,NQ2,猎户,小犬座α,南河三
15,Capricornus,Cap,Capr,CAP,sea goat,δ Capricorni,摩羯座,413.947,21 2.93,-18 1.39,SQ4,黄道,摩羯座δ,垒壁阵四
16,Carina,Car,Cari,CAR,keel,Canopus,船底座,494.184,8 41.7,-63 13.16,SQ2,幻之水,船底座α,老人星
17,Cassiopeia,Cas,Cass,CAS,Cassiopeia (mythological character),α Cassiopeiae,仙后座,598.407,1 19.16,62 11.04,NQ1,英仙,仙后座α,王良四
18,Centaurus,Cen,Cent,CEN,centaur,α Centauri,半人马座,1060.422,13 4.27,-47 20.72,SQ3,武仙,半人马座α,南门二
19,Cepheus,Cep,Ceph,CEP,Cepheus (mythological character),α Cephei,仙王座,587.787,22 0,71 0.51,NQ4,英仙,仙王座α,天钩五
20,Cetus,Cet,Ceti,CET,sea monster (later interpreted as a whale),β Ceti,鲸鱼座,1231.411,1 40.1,-7 10.76,SQ1,英仙,鲸鱼座β,土司空
21,Chamaeleon,Cha,Cham,CHA,chameleon,α Chamaeleontis,蝘蜓座,131.592,10 41.53,-79 12.3,SQ2,拜耳,蝘蜓座α,小斗增一
22,Circinus,Cir,Circ,CIR,compasses,α Circini,圆规座,93.353,14 34.54,-63 1.82,SQ3,拉卡伊,圆规座α,南门增二
23,Columba,Col,Colm,COL,dove,α Columbae,天鸽座,270.184,5 51.76,-35 5.67,SQ1,幻之水,天鸽座α,丈人一
24,Coma Berenices,Com,Coma,COM,Berenice's hair,β Comae Berenices,后发座,386.475,12 47.27,23 18.34,NQ3,大熊,后发座β,周鼎一
25,Corona Australis,CrA,CorA,CRA,southern crown,α Coronae Australis,南冕座,127.696,18 38.79,-41 8.85,SQ4,武仙,南冕座α,鳖六
26,Corona Borealis,CrB,CorB,CRB,northern crown,α Coronae Borealis,北冕座,178.71,15 50.59,32 37.49,NQ3,大熊,北冕座α,贯索四
27,Corvus,Crv,Corv,CRV,crow,γ Corvi,乌鸦座,183.801,12 26.52,-18 26.2,SQ3,武仙,乌鸦座γ,轸宿一
28,Crater,Crt,Crat,CRT,cup,δ Crateris,巨爵座,282.398,11 23.75,-15 55.74,SQ2,武仙,巨爵座δ,翼宿七
29,Crux,Cru,Cruc,CRU,southern cross,Acrux,南十字座,68.447,12 26.99,-60 11.19,SQ3,武仙,南十字座α,十字架二
30,Cygnus,Cyg,Cygn,CYG,swan or Northern Cross,Deneb,天鹅座,803.983,20 35.28,44 32.7,NQ4,武仙,天鹅座α,天津四
31,Delphinus,Del,Dlph,DEL,dolphin,β Delphini,海豚座,188.549,20 41.61,11 40.26,NQ4,幻之水,海豚座β,瓠瓜四
32,Dorado,Dor,Dora,DOR,dolphinfish,α Doradus,剑鱼座,179.173,5 14.51,,SQ1,拜耳,剑鱼座α,金鱼二
